Type,Content,Translation,Extra,cat
personal,"Why are you here today?","為什麼你今天在這裡？","",0
personal,"What's the purpose of you being here today?","你今天在這裡的目的是什麼？","",0
personal,"Why are you come here today?","你今天為什麼來這裡？","",0
personal,"Why are you eligible for the naturalization?","為什麼你有資格入籍？","",0
personal,"What's the reason of you being here today?","你今天在這裡的原因是什麼？","",0
personal,"What's the eligibility of your naturalization?","你入籍的資格是什麼？","",0
personal,"For what reason do you file the N-400 form?","你出於什麼原因提交 N-400 表格？","",0
personal,"What's the reason of filing the N-400 form?","提交 N-400 表格的原因是什麼？","",0
personal,"What's the basis of filing this form?","提交此表格的依據是什麼？","",0
personal,"Are you filing the form under the general provision?","你是根據一般條款提交表格的嗎？","",0
personal,"What's your basis for eligibility?","你的資格依據是什麼？","",0
personal,"how did you get your green card?","你是如何獲得綠卡的？","",0
personal,"how did you become a permanent resident?","你是如何成為永久居民的？","",0
personal,"Who sponsored you?","誰擔保你的？","",0
personal,"what's your sponsor's name?","擔保人的名字是什麼？","",0
personal,"when did your sponsor become us citizen?","你的擔保人什麼時候成為美國公民的？","",0
personal,"Why are you eligible to become a U.S. citizen?","為什麼你有資格成為美國公民？","",0
personal,"What's your legal name?","你的法定姓名是什麼？","",0
personal,"Can you confirm your legal name?","你能確認你的法定姓名嗎？","",0
personal,"Could you state your full name for me?","你能為我陳述你的全名嗎？","",0
personal,"Do you have any other names before?","你以前有過其他名字嗎？","",0
personal,"Do you have nickname?","你有綽號嗎？","",0
personal,"Do you have previous name?","你有以前的名字嗎？","",0
personal,"What's your first name?","你的名字（First Name）是什麼？","",0
personal,"What's your last name?","你的姓氏（Last Name）是什麼？","",0
personal,"Can you spell your first name?","你能拼寫你的名字嗎？","",0
personal,"Can you spell your last name?","你能拼寫你的姓氏嗎？","",0
personal,"Would you like to legally change your name today?","你今天想合法更改姓名嗎？","",0
personal,"have you ever changed your name before?","你以前改過名字嗎？","",0
personal,"so you just want to keep your current name, right?","所以你只想保留現在的名字，對嗎？","",0
personal,"What's your date of birth?","你的出生日期是什麼？","",0
personal,"On what date were you born?","你是哪一天出生的？","",0
